Date,BTC Price
1/18/2015,211.1823353
1/19/2015,216.3129006
1/20/2015,212.0488184
1/21/2015,227.8870809
1/22/2015,234.7452368
1/23/2015,233.3379622
1/24/2015,248.8009836
1/25/2015,254.8672585
1/26/2015,275.8336666
1/27/2015,265.1198518
1/28/2015,234.9327483
1/29/2015,233.6450358
1/30/2015,227.0887769
1/31/2015,216.2255699
2/1/2015,227.1416082
2/2/2015,238.8632163
2/3/2015,228.0995497
2/4/2015,227.7983078
2/5/2015,216.7717187
2/6/2015,222.8871806
2/7/2015,228.8654964
2/8/2015,224.0217135
2/9/2015,220.6099909
2/10/2015,220.8763285
2/11/2015,219.8640673
2/12/2015,222.5973157
2/13/2015,236.1815316
2/14/2015,256.8535087
2/15/2015,235.8061463
2/16/2015,233.8002817
2/17/2015,244.2232599
2/18/2015,236.5963247
2/19/2015,240.2725683
2/20/2015,244.6810666
2/21/2015,245.547789
2/22/2015,236.5201196
2/23/2015,239.3622266
2/24/2015,239.6668751
2/25/2015,237.9977584
2/26/2015,237.0389134
2/27/2015,254.6318691
2/28/2015,255.2487086
3/1/2015,261.7029339
3/2/2015,277.0443846
3/3/2015,283.2968073
3/4/2015,273.184922
3/5/2015,277.2104578
3/6/2015,273.3267737
3/7/2015,276.971226
3/8/2015,275.4976793
3/9/2015,290.6250387
3/10/2015,292.4347039
3/11/2015,296.7941636
3/12/2015,295.7150686
3/13/2015,283.484049
3/14/2015,282.8150729
3/15/2015,287.1400576
3/16/2015,291.2105624
3/17/2015,285.291552
3/18/2015,257.1910826
3/19/2015,262.1573879
3/20/2015,262.4636269
3/21/2015,260.6639649
3/22/2015,268.7531727
3/23/2015,267.1376824
3/24/2015,245.9942326
3/25/2015,246.4575278
3/26/2015,249.5049198
3/27/2015,246.8676107
3/28/2015,253.0298167
3/29/2015,242.6850478
3/30/2015,248.0951072
3/31/2015,244.5767681
4/1/2015,247.1786171
4/2/2015,253.3705167
4/3/2015,254.1905011
4/4/2015,253.6370442
4/5/2015,260.5044487
4/6/2015,255.8356744
4/7/2015,253.7754868
4/8/2015,245.1332094
4/9/2015,243.8936765
4/10/2015,236.2307944
4/11/2015,236.9531509
4/12/2015,236.5997669
4/13/2015,224.8306842
4/14/2015,219.5232903
4/15/2015,223.7961585
4/16/2015,228.3332078
4/17/2015,222.670634
4/18/2015,223.3330158
4/19/2015,222.4855606
4/20/2015,224.4004064
4/21/2015,236.0814099
4/22/2015,234.1019428
4/23/2015,235.8931397
4/24/2015,231.2520432
4/25/2015,226.1462059
4/26/2015,219.8773186
4/27/2015,227.4087251
4/28/2015,225.4256199
4/29/2015,225.409944
4/30/2015,236.2158471
5/1/2015,232.0187986
5/2/2015,234.9546204
5/3/2015,240.4474185
5/4/2015,238.6624945
5/5/2015,235.8279758
5/6/2015,229.283635
5/7/2015,237.3543762
5/8/2015,244.2043009
5/9/2015,242.4292059
5/10/2015,240.6486169
5/11/2015,242.1372504
5/12/2015,241.7601384
5/13/2015,235.7773448
5/14/2015,236.9696845
5/15/2015,237.4067608
5/16/2015,235.789516
5/17/2015,236.1669312
5/18/2015,233.0817497
5/19/2015,231.8016767
5/20/2015,234.1514998
5/21/2015,235.3269844
5/22/2015,240.4513915
5/23/2015,238.6669656
5/24/2015,240.6779538
5/25/2015,236.7711264
5/26/2015,236.7192514
5/27/2015,236.0757936
5/28/2015,236.8229125
5/29/2015,236.5005253
5/30/2015,232.7489361
5/31/2015,229.1003671
6/1/2015,222.4996818
6/2/2015,225.0598146
6/3/2015,225.1333662
6/4/2015,223.6354126
6/5/2015,224.6851071
6/6/2015,225.6907152
6/7/2015,223.3592095
6/8/2015,228.5506747
6/9/2015,228.9583651
6/10/2015,228.5356185
6/11/2015,229.6515395
6/12/2015,229.4253348
6/13/2015,232.608553
6/14/2015,233.1821438
6/15/2015,236.6509742
6/16/2015,251.4557297
6/17/2015,248.754882
6/18/2015,249.2662959
6/19/2015,244.6272094
6/20/2015,245.293215
6/21/2015,244.1456698
6/22/2015,246.6757479
6/23/2015,244.19062
6/24/2015,239.9702246
6/25/2015,242.16195
6/26/2015,243.2778516
6/27/2015,251.5304954
6/28/2015,249.1243817
6/29/2015,256.6713222
6/30/2015,263.0324964
7/1/2015,258.3104768
7/2/2015,254.6310893
7/3/2015,256.2461058
7/4/2015,260.5763349
7/5/2015,272.00404
7/6/2015,269.4232407
7/7/2015,265.7555522
7/8/2015,270.5797429
7/9/2015,269.516824
7/10/2015,285.6012251
7/11/2015,293.3405993
7/12/2015,311.304708
7/13/2015,292.8827924
7/14/2015,287.4311614
7/15/2015,285.9753577
7/16/2015,278.7347849
7/17/2015,279.9786998
7/18/2015,277.4237488
7/19/2015,275.3584891
7/20/2015,280.1365934
7/21/2015,276.2407489
7/22/2015,278.2378405
7/23/2015,277.2125443
7/24/2015,288.7440006
7/25/2015,289.3338089
7/26/2015,293.2849919
7/27/2015,294.5968846
7/28/2015,295.0169178
7/29/2015,290.2784169
7/30/2015,288.5377193
7/31/2015,284.681201
8/1/2015,281.4954211
8/2/2015,282.8036617
8/3/2015,281.5031529
8/4/2015,285.7944493
8/5/2015,282.3207405
8/6/2015,279.0767972
8/7/2015,280.3008659
8/8/2015,261.8081799
8/9/2015,265.7865942
8/10/2015,265.0239485
8/11/2015,272.019592
8/12/2015,267.8400887
8/13/2015,263.8945443
8/14/2015,264.99138
8/15/2015,263.5708206
8/16/2015,259.1389862
8/17/2015,257.8646435
8/18/2015,229.7631101
8/19/2015,227.9591221
8/20/2015,235.8621729
8/21/2015,232.9182757
8/22/2015,230.4342191
8/23/2015,229.14372
8/24/2015,210.5708804
8/25/2015,223.0145842
8/26/2015,226.2963634
