Date, DJIA_Close,DJIA_Change,DJIA_pct_Change, Close,NDAQ_Change,NDAQ_pct_Change
2018-06-20,24657.8,-42.41,-0.171698945,7781.51,55.92,0.007238282
2018-06-21,24461.7,-196.1,-0.795285873,7712.95,-68.56,-0.008810629
2018-06-22,24580.89,119.19,0.487251499,7692.82,-20.13,-0.002609896
2018-06-25,24252.8,-328.09,-1.334736049,7532.01,-160.81,-0.020903908
2018-06-26,24283.11,30.31,0.124975261,7561.63,29.62,0.003932549
2018-06-27,24117.59,-165.52,-0.681626036,7445.08,-116.55,-0.015413343
2018-06-28,24216.05,98.46,0.408249746,7503.68,58.6,0.00787097
2018-06-29,24271.41,55.36,0.228608712,7510.3,6.62,0.000882234
2018-07-02,24307.18,35.77,0.147375039,7567.69,57.39,0.007641506
2018-07-03,24174.82,-132.36,-0.544530464,7502.67,-65.02,-0.00859179
2018-07-05,24356.74,181.92,0.75251853,7586.43,83.76,0.011164026
2018-07-06,24456.48,99.74,0.409496509,7688.39,101.96,0.013439787
2018-07-09,24776.59,320.11,1.308896456,7756.2,67.81,0.008819792
2018-07-10,24919.66,143.07,0.577440237,7759.2,3,0.000386787
2018-07-11,24700.45,-219.21,-0.879666898,7716.61,-42.59,-0.005488968
2018-07-12,24924.89,224.44,0.908647413,7823.92,107.31,0.013906366
2018-07-13,25019.41,94.52,0.379219327,7825.98,2.06,0.000263295
2018-07-16,25064.36,44.95,0.179660512,7805.72,-20.26,-0.002588813
2018-07-17,25119.89,55.53,0.221549643,7855.12,49.4,0.006328692
2018-07-18,25199.29,79.4,0.316084187,7854.44,-0.68,-8.65677E-05
2018-07-19,25064.5,-134.79,-0.534896023,7825.3,-29.14,-0.003710004
2018-07-20,25058.12,-6.38,-0.025454328,7820.2,-5.1,-0.000651732
2018-07-23,25044.29,-13.83,-0.05519169,7841.87,21.67,0.002771029
2018-07-24,25241.94,197.65,0.78920185,7840.77,-1.1,-0.000140273
2018-07-25,25414.1,172.16,0.682039495,7932.24,91.47,0.011665946
2018-07-26,25527.07,112.97,0.44451702,7852.18,-80.06,-0.010092988
2018-07-27,25451.06,-76.01,-0.297762336,7737.42,-114.76,-0.01461505
2018-07-30,25306.83,-144.23,-0.566695454,7630,-107.42,-0.013883181
2018-07-31,25415.19,108.36,0.428184802,7671.79,41.79,0.005477064
2018-08-01,25333.82,-81.37,-0.320162863,7707.29,35.5,0.004627343
2018-08-02,25326.16,-7.66,-0.030236261,7802.69,95.4,0.012377892
2018-08-03,25462.58,136.42,0.538652524,7812.01,9.32,0.00119446
2018-08-06,25502.18,39.6,0.155522339,7859.68,47.67,0.006102143
2018-08-07,25628.91,126.73,0.496937909,7883.66,23.98,0.003051015
2018-08-08,25583.75,-45.16,-0.17620726,7888.33,4.67,0.000592364
2018-08-09,25509.23,-74.52,-0.291278644,7891.78,3.45,0.000437355
2018-08-10,25313.14,-196.09,-0.768702152,7839.11,-52.67,-0.006674033
2018-08-13,25187.7,-125.44,-0.495552903,7819.71,-19.4,-0.002474771
2018-08-14,25299.92,112.22,0.445534924,7870.89,51.18,0.006545
2018-08-15,25162.41,-137.51,-0.543519505,7774.12,-96.77,-0.012294671
2018-08-16,25558.73,396.32,1.575047859,7806.52,32.4,0.004167674
2018-08-17,25669.32,110.59,0.432689731,7816.33,9.81,0.001256642
2018-08-20,25758.69,89.37,0.348158814,7821.01,4.68,0.000598746
2018-08-21,25822.29,63.6,0.246906966,7859.17,38.16,0.004879165
2018-08-22,25733.6,-88.69,-0.343462954,7889.1,29.93,0.00380829
2018-08-23,25656.98,-76.62,-0.297743029,7878.46,-10.64,-0.001348696
2018-08-24,25790.35,133.37,0.519819558,7945.98,67.52,0.008570203
2018-08-27,26049.64,259.29,1.005376042,8017.9,71.92,0.009051118
2018-08-28,26064.02,14.38,0.055202298,8030.04,12.14,0.001514112
2018-08-29,26124.57,60.55,0.23231259,8109.69,79.65,0.009919004
2018-08-30,25986.92,-137.65,-0.526898625,8088.36,-21.33,-0.002630187
2018-08-31,25964.82,-22.1,-0.085042783,8109.54,21.18,0.002618578
2018-09-04,25952.48,-12.34,-0.047525845,8091.25,-18.29,-0.002255368
2018-09-05,25974.99,22.51,0.086735449,7995.17,-96.08,-0.011874556
